tourney_id,tourney_name,surface,tourney_level,tourney_date
2012-D072,Davis Cup G2 R1: DOM vs BOL,Hard,D,2012-02-10
2012-D032,Davis Cup G2 R1: EGY vs LAT,Clay,D,2012-02-10
2012-D035,Davis Cup G2 R1: EST vs LUX,Hard,D,2012-02-10
2012-D003,Davis Cup G2 R1: HKG vs INA,Hard,D,2012-02-10
2012-D031,Davis Cup G2 R1: HUN vs IRL,Carpet,D,2012-02-10
2012-D071,Davis Cup G2 R1: MEX vs ESA,Clay,D,2012-02-10
2012-D001,Davis Cup G2 R1: PHI vs POC,Hard,D,2012-02-10
2012-D036,Davis Cup G2 R1: POL vs MAD,Carpet,D,2012-02-10
2012-D004,Davis Cup G2 R1: SRI vs THA,Clay,D,2012-02-10
2012-D034,Davis Cup G2 R1: TUR vs BIH,Hard,D,2012-02-10
2012-D029,Davis Cup G2 R1: UKR vs MON,Hard,D,2012-02-10
2012-D073,Davis Cup G2 R1: VEN vs PUR,Hard,D,2012-02-10
2012-D006,Davis Cup WG R1: AUT vs RUS,Hard,D,2012-02-10
2012-D007,Davis Cup WG R1: CAN vs FRA,Hard,D,2012-02-10
2012-D009,Davis Cup WG R1: CZE vs ITA,Hard,D,2012-02-10
2012-D005,Davis Cup WG R1: ESP vs KAZ,Clay,D,2012-02-10
2012-D012,Davis Cup WG R1: GER vs ARG,Clay,D,2012-02-10
2012-D011,Davis Cup WG R1: JPN vs CRO,Hard,D,2012-02-10
2012-D010,Davis Cup WG R1: SRB vs SWE,Hard,D,2012-02-10
2012-D008,Davis Cup WG R1: SUI vs USA,Clay,D,2012-02-10
2012-D002,Davis Cup G2 R1: LIB vs PAK,Clay,D,2012-02-11
2012-407,Rotterdam,Hard,A,2012-02-13
2012-424,San Jose,Hard,A,2012-02-13
2012-533,Sao Paulo,Clay,A,2012-02-13
2012-506,Buenos Aires,Clay,A,2012-02-20
2012-496,Marseille,Hard,A,2012-02-20
2012-402,Memphis,Hard,A,2012-02-20
2012-807,Acapulco,Clay,A,2012-02-27
2012-499,Delray Beach,Hard,A,2012-02-27
2012-495,Dubai,Hard,A,2012-02-27
2012-404,Indian Wells Masters,Hard,M,2012-03-08
2012-403,Miami Masters,Hard,M,2012-03-21
2012-D049,Davis Cup G1 PO: TPE vs CHN,Hard,D,2012-04-06
2012-D026,Davis Cup G1 R2: AUS vs KOR,Hard,D,2012-04-06
2012-D028,Davis Cup G1 R2: BRA vs COL,Clay,D,2012-04-06
2012-D019,Davis Cup G1 R2: GBR vs BEL,Hard,D,2012-04-06
2012-D018,Davis Cup G1 R2: ISR vs POR,Hard,D,2012-04-06
2012-D020,Davis Cup G1 R2: NED vs ROU,Hard,D,2012-04-06
2012-D021,Davis Cup G1 R2: RSA vs SLO,Hard,D,2012-04-06
2012-D027,Davis Cup G1 R2: URU vs CHI,Clay,D,2012-04-06
2012-D025,Davis Cup G1 R2: UZB vs IND,Clay,D,2012-04-06
2012-D058,Davis Cup G2 PO: EGY vs IRL,Clay,D,2012-04-06
2012-D077,Davis Cup G2 PO: ESA vs PAR,Hard,D,2012-04-06
2012-D064,Davis Cup G2 PO: HKG vs SRI,Hard,D,2012-04-06
2012-D063,Davis Cup G2 PO: LIB vs POC,Clay,D,2012-04-06
2012-D060,Davis Cup G2 PO: MAD vs LUX,Clay,D,2012-04-06
2012-D057,Davis Cup G2 PO: MAR vs MON,Clay,D,2012-04-06
2012-D078,Davis Cup G2 PO: PUR vs BOL,Hard,D,2012-04-06
2012-D059,Davis Cup G2 PO: TUR vs MDA,Hard,D,2012-04-06
2012-D053,Davis Cup G2 R2: BLR vs BIH,Hard,D,2012-04-06
2012-D052,Davis Cup G2 R2: HUN vs LAT,Carpet,D,2012-04-06
2012-D062,Davis Cup G2 R2: INA vs THA,Hard,D,2012-04-06
2012-D074,Davis Cup G2 R2: MEX vs BAR,Clay,D,2012-04-06
2012-D061,Davis Cup G2 R2: PHI vs PAK,Clay,D,2012-04-06
2012-D054,Davis Cup G2 R2: POL vs EST,Carpet,D,2012-04-06
2012-D051,Davis Cup G2 R2: UKR vs CYP,Hard,D,2012-04-06
2012-D075,Davis Cup G2 R2: VEN vs DOM,Hard,D,2012-04-06
2012-D040,Davis Cup WG QF: ARG vs CRO,Clay,D,2012-04-06
2012-D039,Davis Cup WG QF: CZE vs SRB,Clay,D,2012-04-06
2012-D037,Davis Cup WG QF: ESP vs AUT,Clay,D,2012-04-06
2012-D038,Davis Cup WG QF: FRA vs USA,Clay,D,2012-04-06
2012-360,Casablanca,Clay,A,2012-04-09
2012-717,Houston,Clay,A,2012-04-09
2012-410,Monte Carlo Masters,Clay,M,2012-04-15
2012-425,Barcelona,Clay,A,2012-04-23
2012-773,Bucharest,Clay,A,2012-04-23
2012-5053,Belgrade,Clay,A,2012-04-30
2012-468,Estoril,Clay,A,2012-04-30
2012-308,Munich,Clay,A,2012-04-30
2012-1536,Madrid Masters,Clay,M,2012-05-06
2012-416,Rome Masters,Clay,M,2012-05-13
2012-6120,Nice,Clay,A,2012-05-20
2012-615,Dusseldorf,Clay,A,2012-05-21
2012-520,Roland Garros,Clay,G,2012-05-27
2012-500,Halle,Grass,A,2012-06-11
2012-311,Queen's Club,Grass,A,2012-06-11
2012-440,s Hertogenbosch,Grass,A,2012-06-17
2012-741,Eastbourne,Grass,A,2012-06-18
2012-540,Wimbledon,Grass,G,2012-06-25
2012-316,Bastad,Clay,A,2012-07-09
2012-315,Newport,Grass,A,2012-07-09
2012-321,Stuttgart,Clay,A,2012-07-09
2012-439,Umag,Clay,A,2012-07-09
2012-6116,Atlanta,Hard,A,2012-07-16
2012-314,Gstaad,Clay,A,2012-07-16
2012-414,Hamburg,Clay,A,2012-07-16
2012-319,Kitzbuhel,Clay,A,2012-07-22
2012-423,Los Angeles,Hard,A,2012-07-23
2012-96,London Olympics,Grass,A,2012-07-25
2012-418,Washington,Hard,A,2012-07-30
2012-421,Canada Masters,Hard,M,2012-08-06
2012-422,Cincinnati Masters,Hard,M,2012-08-12
2012-6242,Winston-Salem,Hard,A,2012-08-19
2012-560,US Open,Hard,G,2012-08-27
2012-D048,Davis Cup G1 PO: IND vs NZL,Hard,D,2012-09-14
2012-D047,Davis Cup G1 PO: PER vs ECU,Clay,D,2012-09-14
2012-D050,Davis Cup G1 PO: ROU vs FIN,Hard,D,2012-09-14
2012-D079,Davis Cup G1 PO: SVK vs POR,Hard,D,2012-09-14
2012-D076,Davis Cup G2 R3: DOM vs MEX,Clay,D,2012-09-14
2012-D065,Davis Cup G2 R3: INA vs PHI,Hard,D,2012-09-14
2012-D055,Davis Cup G2 R3: LAT vs UKR,Hard,D,2012-09-14
2012-D056,Davis Cup G2 R3: POL vs BLR,Hard,D,2012-09-14
2012-D046,Davis Cup WG PO: BEL vs SWE,Clay,D,2012-09-14
2012-D067,Davis Cup WG PO: BRA vs RUS,Clay,D,2012-09-14
2012-D066,Davis Cup WG PO: CAN vs RSA,Hard,D,2012-09-14
2012-D044,Davis Cup WG PO: GER vs AUS,Clay,D,2012-09-14
2012-D068,Davis Cup WG PO: ITA vs CHI,Clay,D,2012-09-14
2012-D045,Davis Cup WG PO: JPN vs ISR,Hard,D,2012-09-14
2012-D043,Davis Cup WG PO: KAZ vs UZB,Clay,D,2012-09-14
2012-D069,Davis Cup WG PO: NED vs SUI,Clay,D,2012-09-14
2012-D042,Davis Cup WG SF: ARG vs CZE,Clay,D,2012-09-14
2012-D041,Davis Cup WG SF: ESP vs USA,Clay,D,2012-09-14
2012-341,Metz,Hard,A,2012-09-17
2012-568,St. Petersburg,Hard,A,2012-09-17
2012-1720,Bangkok,Hard,A,2012-09-24
2012-6003,Kuala Lumpur,Hard,A,2012-09-24
2012-747,Beijing,Hard,A,2012-10-01
2012-329,Tokyo,Hard,A,2012-10-01
2012-5014,Shanghai Masters,Hard,M,2012-10-07
2012-438,Moscow,Hard,A,2012-10-15
2012-429,Stockholm,Hard,A,2012-10-15
2012-337,Vienna,Hard,A,2012-10-15
2012-573,Valencia,Hard,A,2012-10-21
2012-328,Basel,Hard,A,2012-10-22
2012-352,Paris Masters,Hard,M,2012-10-29
2012-605,Tour Finals,Hard,F,2012-11-05
2012-M-DC-2012-WG-M-ESP-CZE-01,Davis Cup WG F: ESP vs CZE,Hard,D,2012-11-16
2013-339,Brisbane,Hard,A,2012-12-30
2013-891,Chennai,Hard,A,2012-12-31
